natCu(p,x)65Zn				
				
Energy	sigma	Phys. yield	Phys. yield	1 h irrad.
(MeV)	(mb)	(MBq/uAh)	(uCi/uAh)	(MBq/uA)

17.7	36.50	4.86E-01	1.31E+01	4.86E-01
17.8	35.48	4.88E-01	1.32E+01	4.87E-01
17.9	34.50	4.89E-01	1.32E+01	4.89E-01
18.0	33.55	4.90E-01	1.32E+01	4.90E-01
18.1	32.64	4.92E-01	1.33E+01	4.91E-01
18.2	31.76	4.93E-01	1.33E+01	4.93E-01
18.3	30.92	4.94E-01	1.34E+01	4.94E-01
18.4	30.11	4.95E-01	1.34E+01	4.95E-01
18.5	29.33	4.96E-01	1.34E+01	4.96E-01
18.6	28.58	4.98E-01	1.34E+01	4.98E-01
18.7	27.86	4.99E-01	1.35E+01	4.99E-01
18.8	27.17	5.00E-01	1.35E+01	5.00E-01
18.9	26.51	5.01E-01	1.35E+01	5.01E-01
19.0	25.87	5.02E-01	1.36E+01	5.02E-01
19.1	25.25	5.03E-01	1.36E+01	5.03E-01
19.2	24.66	5.04E-01	1.36E+01	5.04E-01
19.3	24.09	5.05E-01	1.37E+01	5.05E-01
19.4	23.55	5.06E-01	1.37E+01	5.06E-01
19.5	23.02	5.07E-01	1.37E+01	5.07E-01
19.6	22.52	5.08E-01	1.37E+01	5.08E-01
19.7	22.03	5.09E-01	1.38E+01	5.09E-01
19.8	21.56	5.10E-01	1.38E+01	5.10E-01
19.9	21.11	5.11E-01	1.38E+01	5.11E-01
20.0	20.68	5.12E-01	1.38E+01	5.12E-01
20.1	20.27	5.12E-01	1.39E+01	5.12E-01
20.2	19.87	5.13E-01	1.39E+01	5.13E-01
20.3	19.48	5.14E-01	1.39E+01	5.14E-01
20.4	19.11	5.15E-01	1.39E+01	5.15E-01
20.5	18.76	5.16E-01	1.39E+01	5.16E-01
20.6	18.42	5.17E-01	1.40E+01	5.17E-01
20.7	18.09	5.17E-01	1.40E+01	5.17E-01
20.8	17.77	5.18E-01	1.40E+01	5.18E-01
20.9	17.47	5.19E-01	1.40E+01	5.19E-01
21.0	17.17	5.20E-01	1.40E+01	5.20E-01
21.1	16.89	5.21E-01	1.41E+01	5.20E-01
21.2	16.62	5.21E-01	1.41E+01	5.21E-01
21.3	16.36	5.22E-01	1.41E+01	5.22E-01
21.4	16.11	5.23E-01	1.41E+01	5.23E-01
21.5	15.86	5.23E-01	1.41E+01	5.23E-01
21.6	15.63	5.24E-01	1.42E+01	5.24E-01
