natCu(p,x)56Co				
				
Energy	sigma	Phys. yield	Phys. yield	1 h irrad.
(MeV)	(mb)	(MBq/uAh)	(uCi/uAh)	(MBq/uA)

87.2	11.22	1.25E+00	3.37E+01	1.25E+00
87.3	11.21	1.25E+00	3.38E+01	1.25E+00
87.4	11.20	1.26E+00	3.39E+01	1.26E+00
87.5	11.19	1.26E+00	3.41E+01	1.26E+00
87.6	11.18	1.27E+00	3.42E+01	1.27E+00
87.7	11.17	1.27E+00	3.43E+01	1.27E+00
87.8	11.16	1.28E+00	3.45E+01	1.28E+00
87.9	11.15	1.28E+00	3.46E+01	1.28E+00
88.0	11.14	1.29E+00	3.47E+01	1.29E+00
88.1	11.13	1.29E+00	3.49E+01	1.29E+00
88.2	11.13	1.30E+00	3.50E+01	1.29E+00
88.3	11.12	1.30E+00	3.51E+01	1.30E+00
88.4	11.11	1.31E+00	3.53E+01	1.30E+00
88.5	11.10	1.31E+00	3.54E+01	1.31E+00
88.6	11.09	1.31E+00	3.55E+01	1.31E+00
88.7	11.08	1.32E+00	3.57E+01	1.32E+00
88.8	11.08	1.32E+00	3.58E+01	1.32E+00
88.9	11.07	1.33E+00	3.59E+01	1.33E+00
89.0	11.06	1.33E+00	3.61E+01	1.33E+00
89.1	11.05	1.34E+00	3.62E+01	1.34E+00
89.2	11.05	1.34E+00	3.63E+01	1.34E+00
89.3	11.04	1.35E+00	3.65E+01	1.35E+00
89.4	11.03	1.35E+00	3.66E+01	1.35E+00
89.5	11.03	1.36E+00	3.67E+01	1.36E+00
89.6	11.02	1.36E+00	3.69E+01	1.36E+00
89.7	11.01	1.37E+00	3.70E+01	1.37E+00
