27Al(p,x)22Na				
				
Energy	sigma	Phys. yield	Phys. yield	1 h irrad.
(MeV)	(mb)	(MBq/uAh)	(uCi/uAh)	(MBq/uA)

61.4	25.45	4.16E-01	1.13E+01	4.16E-01
61.5	25.39	4.18E-01	1.13E+01	4.18E-01
61.6	25.33	4.19E-01	1.13E+01	4.19E-01
61.7	25.26	4.20E-01	1.14E+01	4.20E-01
61.8	25.20	4.22E-01	1.14E+01	4.22E-01
61.9	25.14	4.23E-01	1.14E+01	4.23E-01
62.0	25.08	4.24E-01	1.15E+01	4.24E-01
62.1	25.02	4.26E-01	1.15E+01	4.26E-01
62.2	24.97	4.27E-01	1.15E+01	4.27E-01
62.3	24.91	4.29E-01	1.16E+01	4.28E-01
62.4	24.85	4.30E-01	1.16E+01	4.30E-01
62.5	24.79	4.31E-01	1.17E+01	4.31E-01
62.6	24.74	4.33E-01	1.17E+01	4.33E-01
62.7	24.68	4.34E-01	1.17E+01	4.34E-01
62.8	24.63	4.35E-01	1.18E+01	4.35E-01
62.9	24.57	4.37E-01	1.18E+01	4.37E-01
63.0	24.52	4.38E-01	1.18E+01	4.38E-01
63.1	24.46	4.39E-01	1.19E+01	4.39E-01
63.2	24.41	4.41E-01	1.19E+01	4.41E-01
63.3	24.36	4.42E-01	1.19E+01	4.42E-01
63.4	24.31	4.43E-01	1.20E+01	4.43E-01
63.5	24.25	4.45E-01	1.20E+01	4.45E-01
63.6	24.20	4.46E-01	1.21E+01	4.46E-01
63.7	24.15	4.47E-01	1.21E+01	4.47E-01
63.8	24.10	4.49E-01	1.21E+01	4.49E-01
63.9	24.05	4.50E-01	1.22E+01	4.50E-01
64.0	24.00	4.51E-01	1.22E+01	4.51E-01
64.1	23.95	4.53E-01	1.22E+01	4.53E-01
64.2	23.91	4.54E-01	1.23E+01	4.54E-01
64.3	23.86	4.55E-01	1.23E+01	4.55E-01
64.4	23.81	4.56E-01	1.23E+01	4.56E-01
64.5	23.77	4.58E-01	1.24E+01	4.58E-01
64.6	23.72	4.59E-01	1.24E+01	4.59E-01
64.7	23.67	4.60E-01	1.24E+01	4.60E-01
64.8	23.63	4.62E-01	1.25E+01	4.62E-01
64.9	23.58	4.63E-01	1.25E+01	4.63E-01
65.0	23.54	4.64E-01	1.26E+01	4.64E-01
65.1	23.50	4.66E-01	1.26E+01	4.66E-01
65.2	23.45	4.67E-01	1.26E+01	4.67E-01
65.3	23.41	4.68E-01	1.27E+01	4.68E-01
65.4	23.37	4.70E-01	1.27E+01	4.70E-01
65.5	23.32	4.71E-01	1.27E+01	4.71E-01
65.6	23.28	4.72E-01	1.28E+01	4.72E-01
65.7	23.24	4.74E-01	1.28E+01	4.74E-01
65.8	23.20	4.75E-01	1.28E+01	4.75E-01
65.9	23.16	4.76E-01	1.29E+01	4.76E-01
66.0	23.12	4.77E-01	1.29E+01	4.77E-01
66.1	23.08	4.79E-01	1.29E+01	4.79E-01
66.2	23.04	4.80E-01	1.30E+01	4.80E-01
66.3	23.00	4.81E-01	1.30E+01	4.81E-01
66.4	22.97	4.83E-01	1.30E+01	4.83E-01
66.5	22.93	4.84E-01	1.31E+01	4.84E-01
66.6	22.89	4.85E-01	1.31E+01	4.85E-01
66.7	22.85	4.87E-01	1.32E+01	4.87E-01
66.8	22.82	4.88E-01	1.32E+01	4.88E-01
66.9	22.78	4.89E-01	1.32E+01	4.89E-01
67.0	22.74	4.91E-01	1.33E+01	4.91E-01
67.1	22.71	4.92E-01	1.33E+01	4.92E-01
67.2	22.67	4.93E-01	1.33E+01	4.93E-01
67.3	22.64	4.94E-01	1.34E+01	4.94E-01
67.4	22.60	4.96E-01	1.34E+01	4.96E-01
67.5	22.57	4.97E-01	1.34E+01	4.97E-01
67.6	22.54	4.98E-01	1.35E+01	4.98E-01
67.7	22.50	5.00E-01	1.35E+01	5.00E-01
67.8	22.47	5.01E-01	1.35E+01	5.01E-01
67.9	22.44	5.02E-01	1.36E+01	5.02E-01
68.0	22.41	5.04E-01	1.36E+01	5.04E-01
68.1	22.38	5.05E-01	1.36E+01	5.05E-01
68.2	22.34	5.06E-01	1.37E+01	5.06E-01
68.3	22.31	5.07E-01	1.37E+01	5.07E-01
68.4	22.28	5.09E-01	1.37E+01	5.09E-01
68.5	22.25	5.10E-01	1.38E+01	5.10E-01
68.6	22.22	5.11E-01	1.38E+01	5.11E-01
68.7	22.19	5.13E-01	1.39E+01	5.13E-01
68.8	22.16	5.14E-01	1.39E+01	5.14E-01
68.9	22.13	5.15E-01	1.39E+01	5.15E-01
69.0	22.11	5.17E-01	1.40E+01	5.16E-01
69.1	22.08	5.18E-01	1.40E+01	5.18E-01
69.2	22.05	5.19E-01	1.40E+01	5.19E-01
69.3	22.02	5.20E-01	1.41E+01	5.20E-01
69.4	21.99	5.22E-01	1.41E+01	5.22E-01
69.5	21.97	5.23E-01	1.41E+01	5.23E-01
69.6	21.94	5.24E-01	1.42E+01	5.24E-01
69.7	21.91	5.26E-01	1.42E+01	5.26E-01
69.8	21.89	5.27E-01	1.42E+01	5.27E-01
69.9	21.86	5.28E-01	1.43E+01	5.28E-01
70.0	21.84	5.29E-01	1.43E+01	5.29E-01
70.1	21.81	5.31E-01	1.43E+01	5.31E-01
70.2	21.79	5.32E-01	1.44E+01	5.32E-01
70.3	21.76	5.33E-01	1.44E+01	5.33E-01
70.4	21.74	5.35E-01	1.44E+01	5.35E-01
70.5	21.71	5.36E-01	1.45E+01	5.36E-01
70.6	21.69	5.37E-01	1.45E+01	5.37E-01
70.7	21.67	5.39E-01	1.46E+01	5.39E-01
70.8	21.64	5.40E-01	1.46E+01	5.40E-01
70.9	21.62	5.41E-01	1.46E+01	5.41E-01
71.0	21.60	5.42E-01	1.47E+01	5.42E-01
71.1	21.57	5.44E-01	1.47E+01	5.44E-01
71.2	21.55	5.45E-01	1.47E+01	5.45E-01
71.3	21.53	5.46E-01	1.48E+01	5.46E-01
71.4	21.51	5.48E-01	1.48E+01	5.48E-01
